date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:12	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:14%20GMT	https://wasatchforge.com/shop	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/shop	(from https://wasatchforge.com/)
20:14:13	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:14%20GMT	https://wasatchforge.com/blacksmiths	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/blacksmiths	(from https://wasatchforge.com/)
20:14:13	94714/94714	---MCZ	200	added ('OK')	text/html	etag:%22171fa-5f04f4e8ebb59-gzip%22	https://wasatchforge.com/book-lessons/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/book-lessons/index.html	(from https://wasatchforge.com/)
20:14:13	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:14%20GMT	https://wasatchforge.com/history	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/history	(from https://wasatchforge.com/)
20:14:13	239/239	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:14%20GMT	https://wasatchforge.com/store	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/store	(from https://wasatchforge.com/)
20:14:13	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2004%20Oct%202023%2002:14:15%20GMT	https://wasatchforge.com/contact	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/contact	(from https://wasatchforge.com/)
20:14:13	5603/5603	---M--	200	added ('OK')	image/jpeg	etag:%2215e3-5f04f4e9f0720%22	https://wasatchforge.com/_nuxt/img/4fd828b.jpg	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/img/4fd828b.jpg	(from https://wasatchforge.com/)
20:14:15	326793/326793	---M--	200	added ('OK')	video/mp4	etag:%224fc89-5f04f4ea4e317%22	https://wasatchforge.com/_nuxt/videos/765a40c.mp4	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/videos/765a40c.mp4	(from https://wasatchforge.com/)
20:14:15	96427/96427	---MCZ	200	added ('OK')	text/html	etag:%22178ab-5f04f4e93fb11-gzip%22	https://wasatchforge.com/shop/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/shop/index.html	(from https://wasatchforge.com/)
20:14:16	97554/97554	---MCZ	200	added ('OK')	text/html	etag:%2217d12-5f04f4e8ebb59-gzip%22	https://wasatchforge.com/history/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/history/index.html	(from https://wasatchforge.com/)
20:14:16	101518/101518	---MCZ	200	added ('OK')	text/html	etag:%2218c8e-5f04f4e8ebb59-gzip%22	https://wasatchforge.com/blacksmiths/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/blacksmiths/index.html	(from https://wasatchforge.com/)
20:14:16	3892/3892	---M--	200	added ('OK')	application/javascript	etag:%22f34-5f04f4e9af046%22	https://wasatchforge.com/_nuxt/aa3c55635ed4d1435db0.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/aa3c55635ed4d1435db0.js	(from https://wasatchforge.com/book-lessons/)
20:14:16	94847/94847	---MCZ	200	added ('OK')	text/html	etag:%221727f-5f04f4e98600a-gzip%22	https://wasatchforge.com/store/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/store/index.html	(from https://wasatchforge.com/)
20:14:16	98682/98682	---MCZ	200	added ('OK')	text/html	etag:%221817a-5f04f4e940ab1-gzip%22	https://wasatchforge.com/contact/	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/contact/index.html	(from https://wasatchforge.com/)
20:14:16	314800/314800	---M--	200	added ('OK')	image/jpeg	etag:%224cdb0-5f04f4ea2c03a%22	https://wasatchforge.com/_nuxt/img/f646add.jpg	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/img/f646add.jpg	(from https://wasatchforge.com/book-lessons/)
20:14:17	5988/5988	---M--	200	added ('OK')	application/javascript	etag:%221764-5f04f4e9c0985%22	https://wasatchforge.com/_nuxt/f246f0ab40a31894edab.js	Y:/Programming/Wasatch%20Forge%20Mockup%20changes/WasatchForgeTempMockup/wasatchforge.com/_nuxt/f246f0ab40a31894edab.js	(from https://wasatchforge.com/shop/)
